schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,conversion_format,conversion_caveat,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:08.058984+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.006603717803955,custom,greedy_phase1,none,ok,,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:08.061079+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,custom,commutation_phase2,none,ok,,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:08.065977+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0039379596710205,custom,hybrid_phase1_2,none,ok,,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.300517+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,1.2255399227142334,qiskit,transpiler,0,ok,native,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.309028+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0060069561004638,qiskit,transpiler,1,ok,native,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.320335+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0082602500915527,qiskit,transpiler,2,ok,native,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.329287+00:00,qft_3,QFT,3,6,6,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0049586296081542,qiskit,transpiler,3,ok,native,,42,0,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.358478+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,custom,greedy_phase1,none,ok,,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.358478+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,custom,commutation_phase2,none,ok,,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.359506+00:00,ghz_3,GHZ,3,3,3,0.0,0.0,0.0,0.0,0.0,1.0,0.001028299331665,custom,hybrid_phase1_2,none,ok,,,42,1,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,
