experiment_id,run_id,mode,circuit_family,n_qubits,param_n,trial,seed,listing_model,optimizer,original_size,variant_size,optimized_size,reduction,fidelity,success,runtime_seconds,file_sha256,git_commit
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,1,1048,shuffle_4,greedy_phase1_lbl,120,120,116,0.033333333333333326,0.9999999999999921,True,0.048180341720581055,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,1,1048,shuffle_4,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999917,True,0.05411648750305176,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,original,greedy_phase1_lbl,120,120,120,0.0,0.9999999999999903,True,0.041010141372680664,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,original,commutation_phase2a,120,120,116,0.033333333333333326,0.9999999999999908,True,0.058917999267578125,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,wcl,greedy_phase1_lbl,120,120,115,0.04166666666666663,0.9999999999999917,True,0.04689335823059082,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,wcl,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999908,True,0.06293177604675293,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,shuffle_0,greedy_phase1_lbl,120,120,116,0.033333333333333326,0.9999999999999912,True,0.052834510803222656,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,shuffle_0,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999903,True,0.06379413604736328,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,shuffle_1,greedy_phase1_lbl,120,120,115,0.04166666666666663,0.9999999999999915,True,0.06082868576049805,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
E28_gate_shuffle_ablation,e28_full_20260718_123040,full,Universal,6,6,2,2048,shuffle_1,commutation_phase2a,120,120,118,0.01666666666666672,0.9999999999999908,True,0.062456607818603516,57072bdbc54564a2cff9db11f2f7323852ff559675e4f3d952f7f524ebb3fe99,8f41dbcfd681b95b99b94405645c2ab4e46f16af
