experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,bv_4,Oracle,5,0,qiskit_L3,8,14.0,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,0,tket_FPO_noswap,8,14.0,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,0,cirq_default,9,14.0,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,0,prototype_greedy,14,14.0,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,1,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,1,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,1,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,1,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,2,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,2,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,2,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,2,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,3,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,3,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,3,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,3,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,4,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,4,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,4,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,4,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,5,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,5,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,5,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,5,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,6,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,6,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,6,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,6,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,7,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,7,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,7,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,7,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,8,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,8,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,8,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,8,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,9,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,9,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,9,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,9,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,10,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,10,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,10,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,10,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,11,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,11,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,11,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,11,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,12,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,12,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,12,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,12,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,13,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,13,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,13,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,13,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,14,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,14,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,14,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,14,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,15,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,15,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,15,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,15,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,16,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,16,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,16,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,16,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,17,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,17,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,17,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,17,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,18,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,18,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,18,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,18,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,19,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,19,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,19,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,19,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,20,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,20,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,20,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,20,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,21,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,21,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,21,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,21,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,22,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,22,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,22,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,22,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,23,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,23,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,23,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,23,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,24,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,24,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,24,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,24,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,25,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,25,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,25,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,25,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,26,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,26,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,26,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,26,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,27,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,27,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,27,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,27,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,28,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,28,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,28,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,28,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,29,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,29,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,29,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,29,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,30,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,30,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,30,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,30,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,31,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,31,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,31,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,31,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,32,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,32,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,32,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,32,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,33,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,33,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,33,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,33,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,34,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,34,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,34,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,34,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,35,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,35,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,35,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,35,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,36,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,36,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,36,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,36,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,37,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,37,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,37,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,37,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,38,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,38,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,38,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,38,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,39,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,39,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,39,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,39,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,40,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,40,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,40,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,40,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,41,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,41,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,41,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,41,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,42,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,42,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,42,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,42,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,43,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,43,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,43,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,43,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,44,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,44,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,44,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,44,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,45,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,45,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,45,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,45,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,46,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,46,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,46,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,46,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,47,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,47,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,47,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,47,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,48,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,48,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,48,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,48,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,49,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,49,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,49,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_4,Oracle,5,49,prototype_greedy,14,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,0,qiskit_L3,2,25.0,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,0,tket_FPO_noswap,5,25.0,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,0,cirq_default,7,25.0,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,0,prototype_greedy,25,25.0,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,1,qiskit_L3,2,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,1,tket_FPO_noswap,5,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,1,cirq_default,7,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,1,prototype_greedy,25,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,2,qiskit_L3,2,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,2,tket_FPO_noswap,5,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,2,cirq_default,7,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,2,prototype_greedy,19,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,3,qiskit_L3,2,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,3,tket_FPO_noswap,5,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,3,cirq_default,7,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,3,prototype_greedy,19,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,4,qiskit_L3,2,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,4,tket_FPO_noswap,5,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,4,cirq_default,7,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,4,prototype_greedy,23,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,5,qiskit_L3,2,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,5,tket_FPO_noswap,5,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,5,cirq_default,7,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,5,prototype_greedy,21,,pass,
E_listing_sensitivity_v8,clifford_3,RandomClifford,3,6,qiskit_L3,2,,pass,
